GeneroEspecie;NT;a;b
Abudefduf troschelii;3;0.016;3.0516
Alphestes immaculatus;3.5;0.0153;3.0038
Anisotremus interruptus;3.5;0.0569;2.91
Apogon pacificus;3.4;0.0103;3.074
Apogon retrosella;3.5;0.00977;3.192
Balistes polylepis;3.3;0.04885;2.685
Bodianus diplotaenia;3.4;0.0201;2.9992
Calamus brachysomus;3.8;0.3975;2.8761
Canthigaster punctatissima;3;0.0323;2.953
Cephalopholis panamensis;4.1;0.0217;3.035
Chaetodon humeralis;2.7;0.029;3.048
Chromis atrilobata;3.4;0.00523;3.416
Chromis limbaughi;3.4;0.0159;3.042
Cirrhitichthys oxycephalus;4;0.023475;3.0585
Cirrhitus rivulatus;4;0.02761;3
Diodon holocanthus;3.85;0.1421;2.6874
Diodon hystrix;3.67;0.336666667;2.364333333
Diplobatis ommata;3.3;0.0245;2.72
Epinephelus analogus;3.8;0.01983;3
Epinephelus labriformis;4;0.03055;2.926
Fistularia commersonii;4.26;0.004223333;2.846666667
Girella simplicidens;2.8;0.0199;3.0063
Gymnothorax castaneus;4;0.0014;3.0122
Gymnothorax dovii;4.3;0.0014;3.0122
Haemulon flaviguttatum;4.2;0.103;2.6
Haemulon maculicauda;4.2;0.0089;3.16
Haemulon sexfasciatum;4.2;0.081;2.71
Halichoeres chierchiae;3.5;0.0126;3.0673
Halichoeres dispilus;3.9;0.0126;3.0673
Halichoeres melanotis;3.5;0.0126;3.0673
Halichoeres nicholsi ;4;0.0126;3.0673
Halichoeres notospilus;3.5;0.0126;3.0673
Halichoeres semicinctus;3.3;0.0126;3.0673
Heterodontus francisci;3.2;ND;ND
Holacanthus clarionensis;2.6;0.02713;3.08423
Holacanthus passer;2.6;0.0271;3.084
Hoplopagrus guentherii;3.8;0.0228;3
Johnrandallia nigrirostris;3;0.021;3.215
Kyphosus analogus;2;0.0218;3.0053
Kyphosus azurea;2;0.0202;3.0011
Kyphosus elegans;2.9;0.0218;3.0053
Kyphosus sp.;;;
Lutjanus argentiventris;4;0.0173;3
Lutjanus viridis;4.2;0.0167;2.9773
Microspathodon dorsalis;2.1;ND;ND
Mugil curema;2.01;0.023222778;2.8745
Mugil sp.;;;
Mulloidichthys dentatus;3.7;0.0126;3.0494
Muraena lentiginosa;3.9;0.0017;2.9528
Muraena sp.;;;
Mycteroperca jordani;4.5;0.01873;3
Mycteroperca prionura;4.5;0.012;3
Mycteroperca rosacea;4.5;0.01413;2.985
Narcine entemedor ;3;ND;ND
Nicholsina denticulata;2;0.0122;3.167
Ophioblennius steindachneri;2.7;0.0115;2.933
Paralabrax auroguttatus;3.4;0.0146;3
Paralabrax maculatofasciatus;4.2;0.0203;3
Paranthias colonus;3.8;0.0148;2.863
Pareques fuscovittatus;3.5;0.0087;3.202
Pomacanthus zonipectus;3.1;0.0193;2.9696
Prionurus punctatus;2;0.198;2.504
Rhinobatos productus;3.59;0.00396;3
Scarus compressus;2;0.0186;3.0455
Scarus ghobban;2;0.0189;3.003053333
Scarus perrico;2;0.0186;3.0455
Scorpaena mystes;3.8;0.0195;3.0056
Semicossyphus pulcher;3.6;0.0289;3
Seriola lalandi;4.16;0.040975;2.766
Serranus psittacinus;3.6;0.0193;2.8511
Sphoeroides lobatus;3.1;0.051066667;2.709666667
Sphyraena sp.;;;
Stegastes acapulcoensis;2;0.0349;2.9109
Stegastes flavilatus;2;0.0349;2.9109
Stegastes rectifraenum;2;0.0181;3.076
Sufflamen verres;3.3;0.0249;3.013
Thalassoma grammaticum;3.5;0.0159;2.9718
Thalassoma lucasanum;3.5;0.0126;2.878
Urobatis concentricus;3.3;0.0073;3
Urobatis sp.;;;
