Genero;Especie;GeneroEspecie
Acanthaster;planci;Acanthaster planci
Antipathes;galapagensis;Antipathes galapagensis
Arbacia;stellata;Arbacia stellata
Asteropsis;carinifera;Asteropsis carinifera
Astrodictyum ;;Astrodictyum sp.
Centrostephanus ;coronatus;Centrostephanus coronatus
Chama;sp.;Chama sp.
Diadema;mexucanum;Diadema mexicanum
Echinaster;tenuispinus;Echinaster (Othilia) tenuispinus
Echinometra;vanbrunti;Echinometra vanbrunti
Eucidaris;thouarsii;Eucidaris thouarsii
ND;sp.;Gorgoniidae sp.
Heliaster;kubiniji;Heliaster kubiniji
Hexaplex;erythrostomus;Hexaplex erythrostomus
Hexaplex;nigritus;Hexaplex nigritus
Hexaplex;princeps;Hexaplex princeps
Holothuroidea;sp.;Holothuroidea sp.
Hyotissa;hyotis;Hyotissa hyotis
Isostichopus;fuscus;Isostichopus fuscus
Tamaria;sp.;Lejaster/Tamaria
Lobatus; galeatus;Lobatus galeatus
Mithrodia;bradleyi;Mithrodia bradleyi
Mytilus;sp.;Mytilus sp.
Nidorellia;armata;Nidorellia armata
Octopus ;bimaculatus;Octopus bimaculatus
Octopus;sp.;Octopus sp.
Panulirus;inflatus;Panulirus inflatus
Panulirus;interruptus;Panulirus interruptus
Pentaceraster ;cumingi;Pentaceraster cumingi
Pharia;pyramidata;Pharia pyramidata
Phataria;unifascialis;Phataria unifascialis
Pinctada;mazatlanica;Pinctada mazatlanica
Pinna;rugosa;Pinna rugosa
Pteria;sterna;Pteria sterna
Spondylus;limbatus;Spondylus limbatus
Stenorhynchus;debilis;Stenorhynchus debilis
Strombina;maculosa;Strombina maculosa
Strombus;gracilior;Strombus gracilior
Toxopneustes;roseus;Toxopneustes roseus
Triplofusus;princeps;Triplofusus princeps
Tripneustes;depressus;Tripneustes depressus
Turbo;fluctuosus;Turbo fluctuosus
