Género;Especie;Género+Especie;Nombre Común
Abudefduf;troschelli;Abudefduf troschelii;Mulegino
Alphestes;immaculatus;Alphestes immaculatus;Cabrilla rosa
Anisotremus;interruptus;Anisotremus interruptus;Burrito/Burro ronco
Apogon;pacificus;Apogon pacificus;Cardenal
Apogon;retrosella;Apogon retrosella;Cardenal de Cortés
Balistes;polylepsis;Balistes polylepis;Cochito
Bodianus;diplotaenia;Bodianus diplotaenia;Vieja /  Vieje de piedra
Calamus;brachysomus;Calamus brachysomus;Mojarra blanca
Canthigaster;punctatissima;Canthigaster punctatissima;Botete bonito
Cephalopholis;panamensis;Cephalopholis panamensis;Cabrilla piedrera / mero panameño / Enjambre
Chaetodon;humeralis;Chaetodon humeralis;Mariposa muñeca
Chromis;atrilobata;Chromis atrilobata;Castaña cola de tijera
Chromis;limbaughi;Chromis limbaughi;Castaña mexicana
Cirrhitichthys;oxycephalus;Cirrhitichthys oxycephalus;Halcón de coral
Cirrhitus;rivulatus;Cirrhitus rivulatus;Chino mero
Diodon;holocanthus;Diodon holocanthus;Pez globo / Pez erizo / mapache 
Diodon;hystrix;Diodon hystrix;Pez erizo picoso
Diplobatis;ommata;Diplobatis ommata;Raya eléctrica 
Epinephelus;analogus;Epinephelus analogus;Cabrilla pinta / Cabrilla pinto
Epinephelus;labriformis;Epinephelus labriformis;Cabrilla piedreda
Fistularia;commersonii;Fistularia commersonii;Pez corneta
Girella;simplicidens;Girella simplicidens;Chopa café / Chopa ojo azul
Gymnothorax;castaneus;Gymnothorax castaneus;Morena prieta o verde
Gymnothorax;dovii;Gymnothorax dovii;Morena
Haemulon;flaviguttatum;Haemulon flaviguttatum;Rayadillo aleta amarilla / Burro / Ronco de rabo manchado
Haemulon;maculicauda;Haemulon maculicauda;Rayadillo / Burro roncador rayado
Haemulon;sexfasciatum;Haemulon sexfasciatum;Burrito / Burro almejero
Halichoeres;chierchiae;Halichoeres chierchiae;Vieja herida / Señorita herida
Halichoeres;dispilus;Halichoeres dispilus;Vieja boca amarilla / Señorita cocinera
Halichoeres;melanotis;Halichoeres melanotis;Señorita dorada
Halichoeres;nicholsi;Halichoeres nicholsi ;Vieja puntos negros
Halichoeres;notospilus;Halichoeres notospilus;Vieja turquesa / Señorita listada 
Halichoeres;semicinctus;Halichoeres semicinctus;Vieja puntos negros / Señorita roquera
Heterodontus;francisci;Heterodontus francisci;Tiburón cornudo
Holacanthus;clarionensis;Holacanthus clarionensis;Ángel/ Ángel de Clarión
Holacanthus;passer;Holacanthus passer;Ángel rey
Hoplopagrus;guentherii;Hoplopagrus guentherii;Coconaco
Johnrandallia;nigrirostris;Johnrandallia nigrirostris;Mariposa nariz negra
Kyphosus;analogus;Kyphosus analogus;Chopa / Copa gris o rayada 
Kyphosus;elegans;Kyphosus elegans;Chopa de Cortés
Lutjanus;argentiventris;Lutjanus argentiventris;Pargo amarillo
Lutjanus;viridis;Lutjanus viridis;Pargo rayado
Microspathodon ;dorsalis;Microspathodon dorsalis;Jaqueta gigante
Mugil ;curema;Mugil curema;Lisa blanca/Lisa
Mulloidichthys;dentatus;Mulloidichthys dentatus;Chivo amarillo/ Chivo barbón/Chivo rayado
Muraena;lentiginosa;Muraena lentiginosa;Morena pinta
Mycteroperca;jordani;Mycteroperca jordani;Baya
Mycteroperca;prionura;Mycteroperca prionura;Cabrilla chiruda / Garropa aserrada / Cabrilla pinta
Mycteroperca;rosacea;Mycteroperca rosacea;Cabrilla sardinera
Narcine;entemedor;Narcine entemedor ;Raya eléctrica gigante
Nicholsina;denticulata;Nicholsina denticulata;Perico baboso
Ophioblennius;steindachneri;Ophioblennius steindachneri;Borracho mono
Paralabrax;auroguttatus;Paralabrax auroguttatus;Extranjero
Paralabrax;maculatofasciatus;Paralabrax maculatofasciatus;Cabrilla arenera
Paranthias;colonus;Paranthias colonus;Sandía
Pareques;fuscovittatus;Pareques fuscovittatus;Payasito lindo
Pomacanthus;zonipectus;Pomacanthus zonipectus;Ángel de Cortés
Prionurus ;punctatus;Prionurus punctatus;cirujanom cochinito/ cochinito
Rhinobatos;productus;Rhinobatos productus;Guitarra viola
Scarus;compressus;Scarus compressus;Loro
Scarus;ghobban;Scarus ghobban;Loro
Scarus;perrico;Scarus perrico;Loro jorobado
Scorpaena; mystes;Scorpaena mystes;Lupón / Pes escorpión 
Semicossyphus;pulcher;Semicossyphus pulcher;Vieja californiana
Seriola;lalandi;Seriola lalandi;Jurel aleta amarilla
Serranus;psittacinus;Serranus psittacinus;Cabrilla falsa / Serrano rayado
Sphoeroides;lobatus;Sphoeroides lobatus;Botete verrugoso / Botete peruano/tamborín
Stegastes;acapulcoensis;Stegastes acapulcoensis;Damisela acapulqueña
Stegastes;flavilatus;Stegastes flavilatus;Jaqueta de dos colores
Stegastes;rectifraenum;Stegastes rectifraenum;Damisela / Damisela de Cortés
Sufflamen;verres;Sufflamen verres;Cochito naranja
Thalassoma;grammaticum;Thalassoma grammaticum;Señorita crepúsculo/Vieja crepúsculo
Thalassoma;lucasanum;Thalassoma lucasanum;Viejita arcoiris
Urobatis;concentricus;Urobatis concentricus;Manta redonda
